Endpoint,readTimestamp,rssi,tagMac,isMotion
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-69,0xa15545,false
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-74,0x27ffa3,false
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-62,0xa1552c,false
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-74,0x27ffa9,false
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-75,0x27ffad,false
eec50c22-5acd-11e9-ad32-001d054d25e2,11:58:29,-68,0x286dea,false
6f770b36-6519-11e9-9b11-001d054d25e2,11:58:29,-63,0xa1545e,false
6f770b36-6519-11e9-9b11-001d054d25e2,11:58:29,-73,0x28001a,false
6f770b36-6519-11e9-9b11-001d054d25e2,11:58:29,-72,0x286e14,false
6f770b36-6519-11e9-9b11-001d054d25e2,11:58:29,-71,0x286dc5,false
6f770b36-6519-11e9-9b11-001d054d25e2,11:58:29,-75,0x257696,false
0759ef08-5ad0-11e9-aa8e-001d054d25e2,11:58:29,-72,0x280072,false
0759ef08-5ad0-11e9-aa8e-001d054d25e2,11:58:29,-75,0x27ff69,false
0759ef08-5ad0-11e9-aa8e-001d054d25e2,11:58:29,-71,0x286e16,false
0759ef08-5ad0-11e9-aa8e-001d054d25e2,11:58:29,-75,0x286dea,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-66,0x28007b,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-74,0x280023,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-64,0x280029,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-70,0x27ffab,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-71,0x28002b,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-64,0x28001a,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-72,0x27ffac,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-74,0xa15556,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-70,0xa15519,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-73,0x280024,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-68,0x27ffa1,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-70,0x27ffa5,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-74,0x27ffa2,false
2bc72bfa-5ace-11e9-a643-001d054d25e2,11:58:29,-72,0x28006b,false
a30129e6-5ace-11e9-8a84-001d054d25e2,11:58:29,-65,0x280020,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-73,0xa1550d,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-68,0xa15545,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-60,0xa15537,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-74,0x28006f,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-64,0x27ff69,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-68,0x280025,false
b820b292-5ace-11e9-9b03-001d054d25e2,11:58:29,-70,0x286dea,false
